Time,Alt_km,Lon_deg,Lat_deg,Vel,Gamma_deg,Psi_deg,Alpha_deg,Bank_deg
14.4,39.7401,0.547909,0.543076,5988.69,-0.190131,45.507,3.52051,41.669
14.45,39.7391,0.549818,0.544951,5988.65,-0.190132,45.5088,3.52051,41.6656
14.5,39.7381,0.551727,0.546827,5988.61,-0.190134,45.5105,3.52051,41.6624
14.55,39.7371,0.553637,0.548702,5988.57,-0.190135,45.5123,3.52051,41.6593
14.6,39.7361,0.555546,0.550577,5988.53,-0.190135,45.514,3.52051,41.6564
14.65,39.7351,0.557455,0.552452,5988.49,-0.190136,45.5158,3.52051,41.6535
14.7,39.7341,0.559365,0.554328,5988.45,-0.190136,45.5176,3.52051,41.6508
14.75,39.7332,0.561274,0.556203,5988.41,-0.190135,45.5193,3.52051,41.6482
14.8,39.7322,0.563183,0.558078,5988.37,-0.190135,45.5211,3.52051,41.6458
14.85,39.7312,0.565093,0.559953,5988.33,-0.190134,45.5228,3.52051,41.6434
14.9,39.7302,0.567002,0.561827,5988.29,-0.190133,45.5246,3.52051,41.6412
14.95,39.7292,0.568912,0.563702,5988.25,-0.190132,45.5264,3.52051,41.6391
15,39.7282,0.570822,0.565577,5988.21,-0.19013,45.5281,3.52051,41.6371
15.05,39.7272,0.572731,0.567451,5988.17,-0.190128,45.5299,3.52051,41.6353
15.1,39.7262,0.574641,0.569326,5988.13,-0.190126,45.5316,3.52051,41.6335
15.15,39.7252,0.576551,0.571201,5988.09,-0.190124,45.5334,3.52051,41.6319
15.2,39.7242,0.578461,0.573075,5988.05,-0.190121,45.5352,3.52051,41.6303
15.25,39.7232,0.58037,0.574949,5988.01,-0.190118,45.5369,3.52051,41.6289
